match,market,home_team,away_team,line,over_price,under_price,agency,player_name
Australia v Sri Lanka,Player Runs,Australia,Sri Lanka,9.5,1.28,NA,TAB,Alyssa Healy
Australia v Sri Lanka,Player Runs,Australia,Sri Lanka,24.5,1.87,NA,TAB,Alyssa Healy
Australia v Sri Lanka,Player Runs,Australia,Sri Lanka,49.5,3.4,NA,TAB,Alyssa Healy
Australia v Sri Lanka,Player Runs,Australia,Sri Lanka,99.5,17,NA,TAB,Alyssa Healy
Australia v Sri Lanka,Player Runs,Australia,Sri Lanka,9.5,1.42,NA,TAB,Ashleigh Gardner
Australia v Sri Lanka,Player Runs,Australia,Sri Lanka,24.5,2.4,NA,TAB,Ashleigh Gardner
Australia v Sri Lanka,Player Runs,Australia,Sri Lanka,49.5,5.5,NA,TAB,Ashleigh Gardner
Australia v Sri Lanka,Player Runs,Australia,Sri Lanka,99.5,51,NA,TAB,Ashleigh Gardner
Australia v Sri Lanka,Player Runs,Australia,Sri Lanka,9.5,1.25,NA,TAB,Beth Mooney
Australia v Sri Lanka,Player Runs,Australia,Sri Lanka,24.5,1.75,NA,TAB,Beth Mooney
Australia v Sri Lanka,Player Runs,Australia,Sri Lanka,49.5,3,NA,TAB,Beth Mooney
Australia v Sri Lanka,Player Runs,Australia,Sri Lanka,99.5,13,NA,TAB,Beth Mooney
Australia v Sri Lanka,Player Runs,Australia,Sri Lanka,9.5,1.42,NA,TAB,Chamari Athapaththu
Australia v Sri Lanka,Player Runs,Australia,Sri Lanka,24.5,2.4,NA,TAB,Chamari Athapaththu
Australia v Sri Lanka,Player Runs,Australia,Sri Lanka,49.5,5.5,NA,TAB,Chamari Athapaththu
Australia v Sri Lanka,Player Runs,Australia,Sri Lanka,99.5,51,NA,TAB,Chamari Athapaththu
Australia v Sri Lanka,Player Runs,Australia,Sri Lanka,9.5,1.36,NA,TAB,Ellyse Perry
Australia v Sri Lanka,Player Runs,Australia,Sri Lanka,24.5,2.1,NA,TAB,Ellyse Perry
Australia v Sri Lanka,Player Runs,Australia,Sri Lanka,49.5,4.25,NA,TAB,Ellyse Perry
Australia v Sri Lanka,Player Runs,Australia,Sri Lanka,99.5,29,NA,TAB,Ellyse Perry
Australia v Sri Lanka,Player Runs,Australia,Sri Lanka,9.5,1.5,NA,TAB,H Samarawickrama
Australia v Sri Lanka,Player Runs,Australia,Sri Lanka,24.5,2.75,NA,TAB,H Samarawickrama
Australia v Sri Lanka,Player Runs,Australia,Sri Lanka,49.5,7.5,NA,TAB,H Samarawickrama
Australia v Sri Lanka,Player Runs,Australia,Sri Lanka,99.5,101,NA,TAB,H Samarawickrama
Australia v Sri Lanka,Player Runs,Australia,Sri Lanka,9.5,1.5,NA,TAB,Kavisha Dilhari
Australia v Sri Lanka,Player Runs,Australia,Sri Lanka,24.5,2.8,NA,TAB,Kavisha Dilhari
Australia v Sri Lanka,Player Runs,Australia,Sri Lanka,49.5,7.5,NA,TAB,Kavisha Dilhari
Australia v Sri Lanka,Player Runs,Australia,Sri Lanka,99.5,101,NA,TAB,Kavisha Dilhari
Australia v Sri Lanka,Player Runs,Australia,Sri Lanka,9.5,1.5,NA,TAB,Vishmi Gunaratne
Australia v Sri Lanka,Player Runs,Australia,Sri Lanka,24.5,2.75,NA,TAB,Vishmi Gunaratne
Australia v Sri Lanka,Player Runs,Australia,Sri Lanka,49.5,7.5,NA,TAB,Vishmi Gunaratne
Australia v Sri Lanka,Player Runs,Australia,Sri Lanka,99.5,101,NA,TAB,Vishmi Gunaratne
Bangladesh v England,Player Runs,Bangladesh,England,9.5,1.36,NA,TAB,Alice Capsey
Bangladesh v England,Player Runs,Bangladesh,England,24.5,2.1,NA,TAB,Alice Capsey
Bangladesh v England,Player Runs,Bangladesh,England,49.5,4.25,NA,TAB,Alice Capsey
Bangladesh v England,Player Runs,Bangladesh,England,99.5,29,NA,TAB,Alice Capsey
Bangladesh v England,Player Runs,Bangladesh,England,9.5,1.36,NA,TAB,Danni Wyatt-Hodge
Bangladesh v England,Player Runs,Bangladesh,England,24.5,2.1,NA,TAB,Danni Wyatt-Hodge
Bangladesh v England,Player Runs,Bangladesh,England,49.5,4.25,NA,TAB,Danni Wyatt-Hodge
Bangladesh v England,Player Runs,Bangladesh,England,99.5,29,NA,TAB,Danni Wyatt-Hodge
Bangladesh v England,Player Runs,Bangladesh,England,9.5,1.5,NA,TAB,Murshida Khatun
Bangladesh v England,Player Runs,Bangladesh,England,24.5,2.75,NA,TAB,Murshida Khatun
Bangladesh v England,Player Runs,Bangladesh,England,49.5,7.5,NA,TAB,Murshida Khatun
Bangladesh v England,Player Runs,Bangladesh,England,99.5,101,NA,TAB,Murshida Khatun
Bangladesh v England,Player Runs,Bangladesh,England,9.5,1.25,NA,TAB,Nat Sciver-Brunt
Bangladesh v England,Player Runs,Bangladesh,England,24.5,1.8,NA,TAB,Nat Sciver-Brunt
Bangladesh v England,Player Runs,Bangladesh,England,49.5,3.2,NA,TAB,Nat Sciver-Brunt
Bangladesh v England,Player Runs,Bangladesh,England,99.5,15,NA,TAB,Nat Sciver-Brunt
Bangladesh v England,Player Runs,Bangladesh,England,9.5,1.45,NA,TAB,Nigar Sultana
Bangladesh v England,Player Runs,Bangladesh,England,24.5,2.5,NA,TAB,Nigar Sultana
Bangladesh v England,Player Runs,Bangladesh,England,49.5,6,NA,TAB,Nigar Sultana
Bangladesh v England,Player Runs,Bangladesh,England,99.5,67,NA,TAB,Nigar Sultana
Bangladesh v England,Player Runs,Bangladesh,England,9.5,1.5,NA,TAB,Shathi Rani
Bangladesh v England,Player Runs,Bangladesh,England,24.5,2.8,NA,TAB,Shathi Rani
Bangladesh v England,Player Runs,Bangladesh,England,49.5,7.5,NA,TAB,Shathi Rani
Bangladesh v England,Player Runs,Bangladesh,England,99.5,101,NA,TAB,Shathi Rani
Bangladesh v England,Player Runs,Bangladesh,England,9.5,1.5,NA,TAB,Sobhana Mostary
Bangladesh v England,Player Runs,Bangladesh,England,24.5,2.8,NA,TAB,Sobhana Mostary
Bangladesh v England,Player Runs,Bangladesh,England,49.5,7.5,NA,TAB,Sobhana Mostary
Bangladesh v England,Player Runs,Bangladesh,England,99.5,101,NA,TAB,Sobhana Mostary
Bangladesh v England,Player Runs,Bangladesh,England,9.5,1.25,NA,TAB,Sophia Dunkley
Bangladesh v England,Player Runs,Bangladesh,England,24.5,1.8,NA,TAB,Sophia Dunkley
Bangladesh v England,Player Runs,Bangladesh,England,49.5,3.2,NA,TAB,Sophia Dunkley
Bangladesh v England,Player Runs,Bangladesh,England,99.5,15,NA,TAB,Sophia Dunkley
India v New Zealand,Player Runs,India,New Zealand,9.5,1.4,NA,TAB,Amelia Kerr
India v New Zealand,Player Runs,India,New Zealand,24.5,2.3,NA,TAB,Amelia Kerr
India v New Zealand,Player Runs,India,New Zealand,49.5,5,NA,TAB,Amelia Kerr
India v New Zealand,Player Runs,India,New Zealand,99.5,41,NA,TAB,Amelia Kerr
India v New Zealand,Player Runs,India,New Zealand,9.5,1.5,NA,TAB,Georgia Plimmer
India v New Zealand,Player Runs,India,New Zealand,24.5,2.75,NA,TAB,Georgia Plimmer
India v New Zealand,Player Runs,India,New Zealand,49.5,7.5,NA,TAB,Georgia Plimmer
India v New Zealand,Player Runs,India,New Zealand,99.5,101,NA,TAB,Georgia Plimmer
India v New Zealand,Player Runs,India,New Zealand,9.5,1.4,NA,TAB,Harmanpreet Kaur
India v New Zealand,Player Runs,India,New Zealand,24.5,2.3,NA,TAB,Harmanpreet Kaur
India v New Zealand,Player Runs,India,New Zealand,49.5,5,NA,TAB,Harmanpreet Kaur
India v New Zealand,Player Runs,India,New Zealand,99.5,41,NA,TAB,Harmanpreet Kaur
India v New Zealand,Player Runs,India,New Zealand,9.5,1.4,NA,TAB,Jemimah Rodrigues
India v New Zealand,Player Runs,India,New Zealand,24.5,2.3,NA,TAB,Jemimah Rodrigues
India v New Zealand,Player Runs,India,New Zealand,49.5,5,NA,TAB,Jemimah Rodrigues
India v New Zealand,Player Runs,India,New Zealand,99.5,41,NA,TAB,Jemimah Rodrigues
India v New Zealand,Player Runs,India,New Zealand,9.5,1.4,NA,TAB,Shafali Verma
India v New Zealand,Player Runs,India,New Zealand,24.5,2.3,NA,TAB,Shafali Verma
India v New Zealand,Player Runs,India,New Zealand,49.5,5,NA,TAB,Shafali Verma
India v New Zealand,Player Runs,India,New Zealand,99.5,41,NA,TAB,Shafali Verma
India v New Zealand,Player Runs,India,New Zealand,9.5,1.28,NA,TAB,Smriti Mandhana
India v New Zealand,Player Runs,India,New Zealand,24.5,1.87,NA,TAB,Smriti Mandhana
India v New Zealand,Player Runs,India,New Zealand,49.5,3.4,NA,TAB,Smriti Mandhana
India v New Zealand,Player Runs,India,New Zealand,99.5,17,NA,TAB,Smriti Mandhana
India v New Zealand,Player Runs,India,New Zealand,9.5,1.38,NA,TAB,Sophie Devine
India v New Zealand,Player Runs,India,New Zealand,24.5,2.2,NA,TAB,Sophie Devine
India v New Zealand,Player Runs,India,New Zealand,49.5,4.5,NA,TAB,Sophie Devine
India v New Zealand,Player Runs,India,New Zealand,99.5,34,NA,TAB,Sophie Devine
India v New Zealand,Player Runs,India,New Zealand,9.5,1.36,NA,TAB,Suzie Bates
India v New Zealand,Player Runs,India,New Zealand,24.5,2.1,NA,TAB,Suzie Bates
India v New Zealand,Player Runs,India,New Zealand,49.5,4.25,NA,TAB,Suzie Bates
India v New Zealand,Player Runs,India,New Zealand,99.5,29,NA,TAB,Suzie Bates
South Africa v West Indies,Player Runs,South Africa,West Indies,9.5,1.42,NA,TAB,Deandra Dottin
South Africa v West Indies,Player Runs,South Africa,West Indies,24.5,2.4,NA,TAB,Deandra Dottin
South Africa v West Indies,Player Runs,South Africa,West Indies,49.5,5.5,NA,TAB,Deandra Dottin
South Africa v West Indies,Player Runs,South Africa,West Indies,99.5,51,NA,TAB,Deandra Dottin
South Africa v West Indies,Player Runs,South Africa,West Indies,9.5,1.25,NA,TAB,Hayley Matthews
South Africa v West Indies,Player Runs,South Africa,West Indies,24.5,1.8,NA,TAB,Hayley Matthews
South Africa v West Indies,Player Runs,South Africa,West Indies,49.5,3.2,NA,TAB,Hayley Matthews
South Africa v West Indies,Player Runs,South Africa,West Indies,99.5,15,NA,TAB,Hayley Matthews
South Africa v West Indies,Player Runs,South Africa,West Indies,9.5,1.36,NA,TAB,Laura Wolvaardt
South Africa v West Indies,Player Runs,South Africa,West Indies,24.5,2.1,NA,TAB,Laura Wolvaardt
South Africa v West Indies,Player Runs,South Africa,West Indies,49.5,4.25,NA,TAB,Laura Wolvaardt
South Africa v West Indies,Player Runs,South Africa,West Indies,99.5,29,NA,TAB,Laura Wolvaardt
South Africa v West Indies,Player Runs,South Africa,West Indies,9.5,1.4,NA,TAB,Marizanne Kapp
South Africa v West Indies,Player Runs,South Africa,West Indies,24.5,2.3,NA,TAB,Marizanne Kapp
South Africa v West Indies,Player Runs,South Africa,West Indies,49.5,5,NA,TAB,Marizanne Kapp
South Africa v West Indies,Player Runs,South Africa,West Indies,99.5,41,NA,TAB,Marizanne Kapp
South Africa v West Indies,Player Runs,South Africa,West Indies,9.5,1.5,NA,TAB,Shemaine Campbelle
South Africa v West Indies,Player Runs,South Africa,West Indies,24.5,2.8,NA,TAB,Shemaine Campbelle
South Africa v West Indies,Player Runs,South Africa,West Indies,49.5,7.5,NA,TAB,Shemaine Campbelle
South Africa v West Indies,Player Runs,South Africa,West Indies,99.5,101,NA,TAB,Shemaine Campbelle
South Africa v West Indies,Player Runs,South Africa,West Indies,9.5,1.38,NA,TAB,Stafanie Taylor
South Africa v West Indies,Player Runs,South Africa,West Indies,24.5,2.2,NA,TAB,Stafanie Taylor
South Africa v West Indies,Player Runs,South Africa,West Indies,49.5,4.5,NA,TAB,Stafanie Taylor
South Africa v West Indies,Player Runs,South Africa,West Indies,99.5,34,NA,TAB,Stafanie Taylor
South Africa v West Indies,Player Runs,South Africa,West Indies,9.5,1.5,NA,TAB,Sune Luus
South Africa v West Indies,Player Runs,South Africa,West Indies,24.5,2.75,NA,TAB,Sune Luus
South Africa v West Indies,Player Runs,South Africa,West Indies,49.5,7.5,NA,TAB,Sune Luus
South Africa v West Indies,Player Runs,South Africa,West Indies,99.5,101,NA,TAB,Sune Luus
South Africa v West Indies,Player Runs,South Africa,West Indies,9.5,1.42,NA,TAB,Tazmin Brits
South Africa v West Indies,Player Runs,South Africa,West Indies,24.5,2.4,NA,TAB,Tazmin Brits
South Africa v West Indies,Player Runs,South Africa,West Indies,49.5,5.5,NA,TAB,Tazmin Brits
South Africa v West Indies,Player Runs,South Africa,West Indies,99.5,51,NA,TAB,Tazmin Brits
